Timestamp,Birthday,Time of Birth (not required),MBTI Type
4/12/2020 17:39:37,9/13/1996,,INFJ
4/12/2020 17:45:59,3/8/2000,,ISTJ
4/12/2020 17:58:56,8/20/2000,,INTP
4/12/2020 18:10:25,6/30/2000,,INFP
4/12/2020 18:10:27,6/30/2000,,INFP
4/12/2020 18:15:13,9/12/2000,,INTJ
4/12/2020 18:44:35,2/4/2000,,INTJ
4/12/2020 19:07:54,8/1/2000,,ISTJ
4/12/2020 19:18:15,3/24/2000,,INFP
4/12/2020 19:23:53,4/9/2000,,ESTP
4/12/2020 19:26:12,7/12/2000,,INTP
4/12/2020 19:29:10,12/15/2000,,INFP
4/12/2020 19:32:32,6/4/2000,,INTP
4/12/2020 19:37:59,3/17/2000,,INTJ
4/12/2020 19:45:44,10/13/2000,,INTJ
4/12/2020 19:49:29,2/20/2000,,INTJ
4/12/2020 20:14:01,4/24/2000,,INFJ
4/12/2020 20:14:39,4/13/2000,,INFJ
4/12/2020 20:25:12,10/23/2000,,ISTP
4/12/2020 20:32:36,12/14/2000,,ESTP
4/12/2020 20:53:24,4/18/2000,,ISTJ
4/12/2020 20:55:14,11/25/2000,,INTJ
4/12/2020 21:14:29,11/11/2000,,ISTJ
4/12/2020 21:19:29,9/21/2000,,INFP
4/12/2020 21:29:24,2/25/2000,,INTP
4/12/2020 21:38:11,5/7/2000,,INFP
4/12/2020 21:39:11,5/11/2000,,INTJ
4/12/2020 21:39:25,12/18/2000,,INFJ
4/12/2020 21:40:17,2/2/2000,,ISFP
4/12/2020 21:43:02,4/23/2000,,INFJ
4/12/2020 21:45:02,4/5/2000,,ISTP
4/12/2020 21:48:07,9/14/2000,,INTP
4/12/2020 22:08:38,7/4/2000,,INTP
4/12/2020 22:22:18,12/12/2000,,ENFP
4/12/2020 22:26:23,12/19/2000,,ENFP
4/12/2020 22:29:20,10/30/2000,,ENFJ
4/12/2020 22:30:15,7/23/2000,,ISFP
4/12/2020 22:36:35,9/29/2000,,ENTP
4/12/2020 22:37:14,5/6/2000,,INFJ
4/12/2020 22:38:52,5/30/2000,,INFP
4/12/2020 22:39:27,6/30/2000,,INTP
4/12/2020 22:40:59,2/21/2000,,ENFP
4/12/2020 22:42:39,11/19/2000,,ENTP
4/12/2020 22:42:54,10/18/2000,,ISFP
4/12/2020 22:43:36,9/25/2000,,ENFJ
4/12/2020 22:44:20,1/31/2000,,INTJ
4/12/2020 22:46:11,5/7/2000,,INTP
4/12/2020 22:49:28,1/19/2000,,INFP
4/12/2020 22:57:51,4/8/2000,,INTJ
4/12/2020 22:59:04,11/24/2000,,INTP
4/12/2020 23:00:34,2/17/2000,,ISTJ
4/12/2020 23:00:44,6/26/2000,,ENFJ
4/12/2020 23:09:12,9/18/2000,,ENTP
4/12/2020 23:10:33,5/12/2000,,ISTP
4/12/2020 23:22:25,12/7/2000,,INFJ
4/12/2020 23:22:42,8/11/2000,,INTP
4/12/2020 23:24:27,1/7/2000,,INFP
4/12/2020 23:25:20,5/25/2000,,INTP
4/12/2020 23:25:37,5/25/2000,,INFP
4/12/2020 23:29:45,10/9/2000,,INTJ
4/12/2020 23:30:22,1/6/2000,,INFJ
4/12/2020 23:30:39,5/31/2000,,INTP
4/12/2020 23:30:47,9/21/2000,,INTP
4/12/2020 23:31:15,5/31/2000,,INFP
4/12/2020 23:32:19,4/6/2000,,INTJ
4/12/2020 23:39:02,5/20/2000,,INFP
4/12/2020 23:39:16,8/27/2000,,ISFJ
4/12/2020 23:40:32,6/16/2000,,INFP
4/12/2020 23:41:50,7/7/2000,,INTJ
4/12/2020 23:41:57,7/7/2000,,INTJ
4/12/2020 23:55:07,9/23/2000,,INTP
4/12/2020 23:55:17,7/31/2000,,INFP
4/13/2020 0:00:03,2/24/2000,,INTP
4/13/2020 0:01:20,8/21/2000,,ENTJ
4/13/2020 0:04:14,8/23/2000,,INFP
4/13/2020 0:05:10,7/14/2000,,ISFJ
4/13/2020 0:12:07,6/22/2000,,INFP
4/13/2020 0:12:31,7/12/2000,,INFJ
4/13/2020 0:18:30,7/4/2000,,INFJ
4/13/2020 0:21:46,5/9/2000,,ISTP
4/13/2020 0:27:43,3/1/2000,,INTJ
4/13/2020 0:27:59,3/1/2000,,INTJ
4/13/2020 0:29:47,4/6/2000,10:00:00 AM,INFP
4/13/2020 0:36:06,9/9/2000,3:27:00 AM,INTJ
4/13/2020 0:36:18,2/23/2000,5:10:00 AM,ENFP
4/13/2020 0:39:26,12/27/2000,,INFP
4/13/2020 0:41:20,1/6/2000,1:50:00 PM,INTP
4/13/2020 0:41:21,1/6/2000,1:50:00 PM,INTP
4/13/2020 0:46:09,5/20/2000,8:45:00 PM,INFP
4/13/2020 0:46:24,9/12/2000,,INFJ
4/13/2020 0:48:01,8/24/2000,8:00:00 PM,ISFJ
4/13/2020 0:48:48,12/3/2000,,INTP
4/13/2020 0:52:54,12/28/2000,12:05:00 PM,INFP
4/13/2020 0:54:06,6/5/2000,7:00:00 AM,INFJ
4/13/2020 0:56:19,11/23/2000,8:26:00 AM,INFP
4/13/2020 0:56:29,4/25/2000,6:20:00 PM,ISTJ
4/13/2020 0:59:23,4/20/2000,4:00:00 AM,ESTP
4/13/2020 1:02:31,11/22/2000,8:15:00 AM,INTJ
4/13/2020 1:03:17,1/28/2000,6:55:00 AM,INTP
4/13/2020 1:11:46,12/24/2000,9:38:00 AM,ESFP
4/13/2020 1:14:57,12/19/2000,10:37:00 PM,INTP
4/13/2020 1:16:51,3/20/2000,6:33:00 PM,ISFP
4/13/2020 1:19:05,11/10/2000,4:10:00 AM,INFP
4/13/2020 1:19:43,8/22/2000,11:00:00 AM,INFJ
4/13/2020 1:20:53,3/8/2000,,INFP
4/13/2020 1:24:38,9/7/2000,7:00:00 PM,ISTJ
4/13/2020 1:30:11,10/31/2000,9:36:00 PM,INFP
4/13/2020 1:32:05,4/29/2000,2:38:00 AM,INFP
4/13/2020 1:32:07,5/2/2000,9:22:00 PM,INFP
4/13/2020 1:33:15,12/13/2000,,INFJ
4/13/2020 1:33:55,8/9/2000,,ESTJ
4/13/2020 1:36:31,6/23/2000,,INFJ
4/13/2020 1:37:04,11/4/2000,,ENFP
4/13/2020 1:42:18,1/16/2000,,INFP
4/13/2020 1:50:07,8/12/2000,1:25:00 PM,INTJ
4/13/2020 1:52:21,11/15/2000,5:05:00 PM,ENFP
4/13/2020 1:57:20,12/26/2000,10:30:00 PM,INTJ
4/13/2020 2:05:13,10/3/2000,,ISFJ
4/13/2020 2:11:22,12/12/2000,7:52:00 AM,INFP
4/13/2020 2:16:33,2/16/2000,9:30:00 AM,INFP
4/13/2020 2:17:49,9/23/2000,7:30:00 PM,INFP
4/13/2020 2:18:06,5/3/2000,11:40:00 PM,INTJ
4/13/2020 2:30:21,9/14/2000,9:39:00 PM,INFP
4/13/2020 2:34:42,12/22/2000,,INTJ
4/13/2020 2:39:00,8/26/2000,9:30:00 AM,ENTP
4/13/2020 2:39:43,7/4/2000,8:00:00 AM,INTJ
4/13/2020 2:41:13,8/5/2000,7:00:00 AM,INTJ
4/13/2020 2:44:32,11/2/2000,,INTJ
4/13/2020 2:51:04,11/26/2000,3:00:00 PM,INFJ
4/13/2020 2:52:29,5/12/2000,11:30:00 AM,INTJ
4/13/2020 2:54:01,2/16/2000,8:22:00 PM,INFP
4/13/2020 2:54:42,3/22/2000,9:50:00 AM,ENFP
4/13/2020 3:00:28,9/15/2000,,INTP
4/13/2020 3:02:33,6/28/2000,1:08:00 PM,INTJ
4/13/2020 3:31:10,6/18/2000,12:05:00 PM,ENTP
4/13/2020 3:38:08,7/18/2000,6:13:00 AM,INFJ
4/13/2020 3:38:57,1/9/2000,,INFJ
4/13/2020 3:43:03,7/7/2000,,INFP
4/13/2020 3:43:37,1/21/2000,9:43:00 AM,ISTJ
4/13/2020 3:52:52,3/15/2000,6:30:00 AM,INFP
4/13/2020 3:59:55,6/23/2000,,INTP
4/13/2020 4:01:22,1/26/2000,,ESFP
4/13/2020 4:06:09,8/24/2000,8:20:00 PM,INFP
4/13/2020 4:06:51,12/26/2000,2:58:00 AM,ENTP
4/13/2020 4:15:14,3/13/2000,11:00:00 PM,ISTJ
4/13/2020 4:19:27,1/17/2000,,ENFP
4/13/2020 4:28:36,10/3/2000,3:30:00 PM,ISTJ
4/13/2020 4:29:39,8/18/2000,8:30:00 AM,INFJ
4/13/2020 4:31:25,11/15/2000,10:23:00 PM,INFP
4/13/2020 4:34:44,4/26/2000,12:30:00 AM,ENTP
4/13/2020 4:38:58,2/22/2000,,INFP
4/13/2020 4:49:36,5/13/2000,10:47:00 AM,INTJ
4/13/2020 4:56:08,4/17/2000,10:50:00 PM,INTP
4/13/2020 4:59:15,4/10/2000,7:45:00 AM,INFP
4/13/2020 5:08:35,3/23/2000,4:30:00 PM,ENFP
4/13/2020 5:13:55,6/25/2000,,INTJ
4/13/2020 5:14:34,9/24/2000,8:30:00 PM,INFP
4/13/2020 5:16:09,1/28/2000,8:00:00 AM,INTJ
4/13/2020 5:22:33,11/9/2000,3:15:00 AM,ENTP
4/13/2020 5:25:19,2/5/2000,1:30:00 PM,INTJ
4/13/2020 5:36:31,11/10/2000,2:05:00 AM,INFP
4/13/2020 5:54:20,7/24/2000,7:00:00 AM,ISFJ
4/13/2020 5:54:48,11/22/2000,,ENFP
4/13/2020 6:04:36,1/3/2000,,INTJ
4/13/2020 6:05:31,8/16/2000,6:55:00 AM,ISTJ
4/13/2020 6:06:44,2/13/2000,10:37:00 AM,INTP
4/13/2020 6:06:56,7/23/2000,1:00:00 AM,INFJ
4/13/2020 6:09:29,1/6/2000,7:00:00 PM,ENFP
4/13/2020 6:09:35,10/25/2000,8:30:00 PM,ISTP
4/13/2020 6:10:15,9/4/2000,,INFP
4/13/2020 6:10:31,2/19/2000,11:15:00 PM,ISTJ
4/13/2020 6:11:32,10/15/2000,,INTP
4/13/2020 6:12:54,11/30/2000,11:00:00 PM,INFP
4/13/2020 6:13:16,12/30/2000,4:00:00 PM,ENFJ
4/13/2020 6:16:58,11/29/2000,,INTP
4/13/2020 6:17:06,12/31/2000,4:20:00 PM,ENTP
4/13/2020 6:18:18,2/27/2000,,ENTP
4/13/2020 6:24:24,10/5/2000,3:30:00 AM,INTJ
4/13/2020 6:27:15,10/6/2000,12:02:00 AM,INFP
4/13/2020 6:29:44,7/3/2000,4:30:00 AM,INFP
4/13/2020 6:35:05,9/2/2000,1:16:00 AM,INTJ
4/13/2020 6:36:18,7/21/2000,2:00:00 AM,INFP
4/13/2020 6:43:03,11/12/2000,2:55:00 AM,INFP
4/13/2020 6:43:48,7/18/2000,,INFP
4/13/2020 6:47:23,12/11/2000,6:37:00 AM,ESFJ
4/13/2020 6:52:18,6/25/2000,,INFP
4/13/2020 6:56:04,6/2/2000,,INFJ
4/13/2020 6:59:39,6/27/2000,2:32:00 PM,INTJ
4/13/2020 7:15:24,4/22/2000,4:30:00 PM,INTJ
4/13/2020 7:22:33,4/21/2000,9:50:00 AM,INTJ
4/13/2020 7:24:35,10/31/2000,11:45:00 PM,INTP
4/13/2020 7:34:32,9/15/2000,6:00:00 AM,INFJ
4/13/2020 7:49:37,1/8/2000,10:00:00 PM,INFP
4/13/2020 7:56:20,8/13/2000,4:55:00 PM,INTP
4/13/2020 7:59:06,5/5/2000,10:20:00 AM,ISTP
4/13/2020 8:10:42,7/2/2000,10:10:00 AM,INTP
4/13/2020 8:11:13,5/24/2000,,ENTJ
4/13/2020 8:12:53,1/30/2000,2:53:00 AM,INTP
4/13/2020 8:18:18,5/8/2000,7:05:00 PM,INTJ
4/13/2020 8:19:07,5/7/2000,4:15:00 PM,INFP
4/13/2020 8:19:53,10/9/2000,5:59:00 PM,INFP
4/13/2020 8:20:25,10/26/2000,9:06:00 PM,INTJ
4/13/2020 8:27:03,6/30/2000,11:23:00 AM,ENTP
4/13/2020 8:27:31,2/25/2000,,INTJ
4/13/2020 8:28:57,11/17/2000,12:40:00 PM,INFP
4/13/2020 8:29:50,3/5/2000,2:38:00 PM,INTJ
4/13/2020 8:29:59,7/9/2000,3:25:00 PM,INFJ
4/13/2020 8:34:21,2/14/2000,,INTJ
4/13/2020 8:35:13,5/28/2000,6:00:00 PM,INTJ
4/13/2020 8:43:51,5/5/2000,2:15:00 AM,INFP
4/13/2020 8:44:43,2/1/2000,1:05:00 AM,INFP
4/13/2020 8:47:02,2/25/2000,11:00:00 PM,INFJ
4/13/2020 8:52:49,11/4/2000,4:00:00 AM,ENFP
4/13/2020 8:53:05,6/28/2000,,INTJ
4/13/2020 8:53:22,4/29/2000,11:45:00 AM,INTJ
4/13/2020 8:56:19,12/15/2000,,ISFJ
4/13/2020 8:57:40,8/17/2000,,INTP
4/13/2020 8:58:51,1/9/2000,10:38:00 AM,INTJ
4/13/2020 8:58:52,11/2/2000,2:00:00 PM,ISFJ
4/13/2020 9:06:43,9/1/2000,,INTP
4/13/2020 9:06:53,4/4/2000,5:45:00 PM,INFP
4/13/2020 9:14:56,2/14/2000,8:30:00 PM,INFP
4/13/2020 9:28:48,2/13/2000,6:30:00 PM,ENFP
4/13/2020 9:42:19,1/11/2000,8:21:00 PM,INFP
4/13/2020 9:43:18,1/31/2000,11:45:00 PM,INTP
4/13/2020 9:46:20,10/17/2000,8:30:00 AM,INTP
4/13/2020 9:54:21,9/29/2000,12:32:00 PM,INTP
4/13/2020 9:55:41,9/3/2000,,INFP
4/13/2020 9:57:30,9/1/2000,,INFP
4/13/2020 10:08:58,5/31/2000,5:30:00 PM,INTP
4/13/2020 10:09:56,8/17/2000,3:00:00 AM,INTP
4/13/2020 10:10:26,5/8/2002,11:30:00 PM,INTP
4/13/2020 10:12:15,5/31/2000,5:30:00 PM,ISTP
4/13/2020 10:18:05,8/2/2000,,ENFP
4/13/2020 10:37:52,7/13/2002,,INTJ
4/13/2020 10:43:34,11/29/1993,10:05:00 AM,ENTJ
4/13/2020 10:45:00,2/10/2000,,INTJ
4/13/2020 10:54:34,4/18/2000,8:00:00 PM,INFP
4/13/2020 10:59:12,2/23/1994,7:10:00 AM,INFP
4/13/2020 11:05:37,2/26/2003,9:35:00 PM,INFP
4/13/2020 11:16:43,8/12/1993,,ENTJ
4/13/2020 11:20:01,9/7/1996,12:22:00 PM,INFJ
4/13/2020 11:21:00,2/18/1991,9:00:00 AM,ENTP
4/13/2020 11:23:49,12/25/2000,4:50:00 AM,INFJ
4/13/2020 11:30:44,11/29/1999,2:00:00 AM,INTP
4/13/2020 11:36:55,4/15/2002,,INTP
4/13/2020 11:44:13,5/6/2000,9:10:00 PM,ENTP
4/13/2020 11:55:56,12/19/2000,12:05:00 PM,ENFP
4/13/2020 11:59:07,5/29/1995,8:30:00 PM,INTJ
4/13/2020 11:59:35,6/8/1998,,INTJ
4/13/2020 12:13:37,6/19/1995,5:06:00 PM,INFJ
4/13/2020 12:14:11,9/9/2004,,INTP
4/13/2020 12:38:20,4/4/1988,,INFJ
4/13/2020 12:43:47,8/8/1992,,ENFJ
4/13/2020 12:52:40,4/1/1993,12:34:00 AM,INFP
4/13/2020 13:10:23,4/3/2000,,ENTJ
4/13/2020 13:18:06,1/14/2000,2:51:00 PM,ENTP
4/13/2020 13:30:03,4/24/2002,7:30:00 PM,INFJ
4/13/2020 13:38:50,9/27/2002,10:00:00 PM,ENFP
4/13/2020 13:46:36,1/4/2000,11:00:00 AM,ENTP
4/13/2020 13:46:58,3/9/1998,,ENFP
4/13/2020 14:03:18,12/4/1994,11:45:00 AM,INTJ
4/13/2020 14:37:18,4/7/1982,4:13:00 PM,INTJ
4/13/2020 14:41:10,3/29/2002,,ISFP
4/13/2020 15:16:54,5/15/1997,12:39:00 AM,INFP
4/13/2020 15:42:54,3/20/2001,,INTP
4/13/2020 15:48:04,2/20/2004,,INTJ
4/13/2020 16:01:18,5/15/2000,,ISTP
4/13/2020 16:24:25,3/3/1999,4:00:00 PM,INTP
4/13/2020 17:04:36,11/29/2005,7:55:00 PM,ENTP
4/13/2020 17:12:06,6/1/1998,,INTJ
4/13/2020 17:24:25,1/24/1994,3:27:00 AM,INTJ
4/13/2020 17:29:14,2/6/2002,,INFJ
4/13/2020 17:45:36,2/15/2000,,ENTP
4/13/2020 17:53:22,2/13/1980,9:00:00 AM,ESFJ
4/13/2020 19:07:24,8/6/2000,,INTP
4/13/2020 19:11:11,5/18/2000,7:35:00 AM,INFP
4/13/2020 20:18:17,4/4/2002,1:46:00 PM,INTJ
4/13/2020 20:40:45,5/14/1982,,INFP
4/13/2020 21:35:10,6/20/2004,11:04:00 PM,ENFJ
4/13/2020 22:01:23,3/23/2005,10:15:00 AM,INTJ
4/13/2020 22:47:07,9/9/2001,,ESTJ
4/13/2020 23:18:13,7/23/2003,7:26:00 AM,ISFJ
4/14/2020 0:51:15,8/29/2000,,INFP
4/14/2020 1:59:54,10/24/1996,,INTJ
4/14/2020 2:14:54,1/5/1994,,INTJ
4/14/2020 3:53:31,4/19/1999,12:00:00 AM,INTP
4/14/2020 5:37:14,12/12/2003,3:15:00 PM,INTJ
4/14/2020 6:46:24,4/16/2006,,ESFP
4/14/2020 11:19:53,8/3/1998,2:00:00 PM,ENTP
4/14/2020 12:19:26,12/30/2002,10:52:00 PM,INFJ
4/14/2020 12:20:53,6/21/2002,1:00:00 AM,INTP
4/14/2020 16:11:18,2/24/1991,1:03:00 AM,ENFP
4/14/2020 17:56:24,2/3/1995,5:00:00 PM,INFP
4/15/2020 4:26:47,10/5/2020,11:25:00 AM,INFP
4/15/2020 7:38:58,7/1/1983,3:15:00 PM,INTP
4/15/2020 8:07:00,8/9/2000,9:00:00 AM,ISTP
4/15/2020 8:35:04,8/3/2006,7:30:00 PM,INTP
4/15/2020 16:06:53,1/27/2002,9:27:00 AM,INFP
4/15/2020 21:24:45,8/8/1992,12:00:00 AM,ISTP
4/16/2020 1:18:05,9/21/1992,,ENFJ
4/16/2020 3:45:22,2/21/1993,1:25:00 AM,INFP
4/16/2020 3:45:30,2/21/1993,1:25:00 AM,INFP
4/16/2020 17:02:07,1/1/2007,4:00:00 AM,ENTP
4/16/2020 17:05:03,1/1/2001,3:00:00 AM,ENTP
4/17/2020 20:05:38,10/3/2006,,INTP